iter	Passed	Remaining
481	1378	1481
482	1380	1477
483	1383	1474
484	1385	1471
485	1388	1468
486	1391	1465
487	1393	1462
488	1396	1459
489	1399	1456
490	1401	1453
491	1404	1450
492	1407	1447
493	1409	1444
494	1412	1441
495	1415	1438
496	1417	1434
497	1420	1431
498	1422	1428
499	1425	1425
500	1428	1422
501	1430	1419
502	1433	1416
503	1435	1413
504	1438	1410
505	1441	1406
506	1443	1403
507	1446	1400
508	1448	1397
509	1451	1394
510	1454	1391
511	1457	1388
512	1459	1385
513	1462	1382
514	1465	1379
515	1467	1376
516	1470	1373
517	1473	1371
518	1476	1368
519	1478	1365
520	1481	1362
521	1484	1359
522	1486	1356
523	1489	1353
524	1492	1349
525	1494	1346
526	1497	1343
527	1500	1340
528	1503	1338
529	1506	1335
530	1509	1332
531	1511	1329
532	1514	1326
533	1517	1323
534	1519	1320
535	1522	1317
536	1525	1314
537	1527	1312
538	1530	1309
539	1533	1306
540	1536	1303
541	1538	1300
542	1541	1297
543	1544	1294
544	1547	1291
545	1550	1289
546	1553	1286
547	1556	1283
548	1559	1280
549	1561	1277
550	1564	1275
551	1567	1272
552	1571	1269
553	1573	1267
554	1576	1264
555	1579	1261
556	1582	1258
557	1585	1255
558	1588	1252
559	1591	1250
560	1593	1247
561	1596	1244
562	1599	1241
563	1602	1238
564	1605	1236
565	1608	1233
566	1611	1230
567	1614	1227
568	1616	1224
569	1620	1222
570	1623	1219
571	1626	1216
572	1628	1213
573	1631	1211
574	1634	1208
575	1637	1205
576	1640	1202
577	1643	1199
578	1646	1197
579	1648	1193
580	1651	1191
581	1654	1188
582	1657	1185
583	1659	1182
584	1662	1179
585	1665	1176
586	1668	1173
587	1671	1170
588	1673	1167
589	1676	1164
590	1678	1161
591	1681	1158
592	1684	1156
593	1687	1153
594	1689	1150
595	1692	1147
596	1695	1144
597	1697	1141
598	1700	1138
599	1703	1135
600	1706	1132
601	1709	1130
602	1712	1127
603	1715	1124
604	1718	1121
605	1721	1119
606	1723	1115
607	1726	1113
608	1729	1110
609	1731	1107
610	1734	1104
611	1737	1101
612	1740	1098
613	1742	1095
614	1745	1092
615	1747	1089
616	1750	1086
617	1753	1083
618	1756	1080
619	1758	1077
620	1761	1074
621	1763	1071
622	1766	1069
623	1769	1066
624	1772	1063
625	1775	1060
626	1777	1057
627	1780	1054
628	1783	1051
629	1786	1048
630	1788	1046
631	1791	1043
632	1794	1040
633	1796	1037
634	1799	1034
635	1802	1031
636	1804	1028
637	1807	1025
638	1810	1022
639	1813	1019
640	1815	1017
641	1818	1014
642	1821	1011
643	1823	1008
644	1826	1005
645	1829	1002
646	1831	999
647	1834	996
648	1837	993
649	1839	990
650	1842	987
651	1845	984
652	1847	981
653	1850	979
654	1853	976
655	1855	973
656	1858	970
657	1861	967
658	1863	964
659	1866	961
660	1869	958
661	1871	955
662	1874	952
663	1877	950
664	1879	947
665	1882	944
666	1885	941
667	1888	938
668	1891	935
669	1893	932
670	1896	929
671	1899	927
672	1902	924
673	1904	921
674	1907	918
675	1910	915
676	1913	912
677	1915	909
678	1918	907
679	1921	904
680	1924	901
681	1927	898
682	1929	895
683	1932	892
684	1935	890
685	1938	887
686	1940	884
687	1943	881
688	1946	878
689	1949	875
690	1952	873
691	1954	870
692	1957	867
693	1960	864
694	1963	861
695	1966	858
696	1969	855
697	1971	853
698	1974	850
699	1977	847
700	1979	844
701	1982	841
702	1985	838
703	1988	836
704	1991	833
705	1993	830
706	1996	827
707	1999	824
708	2002	821
709	2005	819
710	2008	816
711	2010	813
712	2013	810
713	2016	807
714	2018	804
715	2021	801
716	2024	799
717	2027	796
718	2030	793
719	2032	790
720	2035	787
721	2038	784
722	2040	781
723	2043	778
724	2046	776
725	2049	773
726	2052	770
727	2054	767
728	2057	764
729	2060	762
730	2063	759
731	2065	756
732	2068	753
733	2071	750
734	2074	747
735	2076	744
736	2079	742
737	2082	739
738	2085	736
739	2088	733
740	2090	730
741	2093	727
742	2096	725
743	2099	722
744	2102	719
745	2105	716
746	2107	713
747	2110	711
748	2113	708
749	2116	705
750	2118	702
751	2121	699
752	2124	696
753	2126	693
754	2129	690
755	2132	688
756	2135	685
757	2137	682
758	2140	679
759	2143	676
760	2146	674
761	2149	671
762	2152	668
763	2154	665
764	2157	662
765	2160	659
766	2163	657
767	2165	654
768	2168	651
769	2171	648
770	2174	645
771	2176	642
772	2179	640
773	2182	637
774	2185	634
775	2188	631
776	2191	628
777	2193	626
778	2196	623
779	2199	620
780	2202	617
781	2205	614
782	2208	611
783	2210	609
784	2213	606
785	2216	603
786	2219	600
787	2221	597
788	2224	594
789	2227	592
790	2230	589
791	2233	586
792	2235	583
793	2238	580
794	2241	578
795	2244	575
796	2247	572
797	2250	569
798	2252	566
799	2255	563
800	2257	560
801	2260	558
802	2264	555
803	2266	552
804	2269	549
805	2272	546
806	2274	544
807	2277	541
808	2280	538
809	2283	535
810	2286	532
811	2288	529
812	2291	527
813	2294	524
814	2297	521
815	2300	518
816	2303	515
817	2306	513
818	2308	510
819	2311	507
820	2314	504
821	2317	501
822	2319	498
823	2322	496
824	2325	493
825	2328	490
826	2331	487
827	2333	484
828	2336	482
829	2339	479
830	2342	476
831	2344	473
832	2347	470
833	2350	467
834	2352	464
835	2355	462
836	2358	459
837	2361	456
838	2364	453
839	2366	450
840	2369	448
841	2373	445
842	2375	442
843	2378	439
844	2381	436
845	2384	433
846	2387	431
847	2389	428
848	2392	425
849	2395	422
850	2398	419
851	2401	417
852	2404	414
853	2407	411
854	2409	408
855	2413	405
856	2415	403
857	2418	400
858	2421	397
859	2424	394
860	2426	391
861	2430	389
862	2432	386
863	2435	383
864	2438	380
865	2440	377
866	2443	374
867	2446	372
868	2449	369
869	2451	366
870	2455	363
871	2457	360
872	2460	357
873	2463	355
874	2466	352
875	2469	349
876	2471	346
877	2474	343
878	2478	341
879	2481	338
880	2484	335
881	2486	332
882	2489	329
883	2493	327
884	2496	324
885	2499	321
886	2502	318
887	2504	315
888	2507	313
889	2510	310
890	2513	307
891	2516	304
892	2518	301
893	2521	298
894	2524	296
895	2527	293
896	2530	290
897	2533	287
898	2535	284
899	2538	282
900	2541	279
901	2544	276
902	2547	273
903	2550	270
904	2552	267
905	2555	265
906	2558	262
907	2561	259
908	2564	256
909	2566	253
910	2569	251
911	2572	248
912	2575	245
913	2578	242
914	2580	239
915	2583	236
916	2586	234
917	2588	231
918	2591	228
919	2595	225
920	2598	222
921	2600	220
922	2603	217
923	2606	214
924	2608	211
925	2611	208
926	2614	205
927	2616	203
928	2619	200
929	2621	197
930	2624	194
931	2627	191
932	2630	188
933	2632	186
934	2635	183
935	2638	180
936	2640	177
937	2643	174
938	2646	171
939	2649	169
940	2652	166
941	2654	163
942	2657	160
943	2660	157
944	2663	154
945	2665	152
946	2668	149
947	2671	146
948	2674	143
949	2677	140
950	2679	138
951	2682	135
952	2685	132
953	2688	129
954	2690	126
955	2693	123
956	2696	121
957	2699	118
958	2702	115
959	2704	112
960	2707	109
961	2710	107
962	2713	104
963	2715	101
964	2718	98
965	2721	95
966	2723	92
967	2726	90
968	2729	87
969	2732	84
970	2734	81
971	2737	78
972	2740	76
973	2743	73
974	2745	70
975	2748	67
976	2751	64
977	2754	61
978	2757	59
979	2760	56
980	2762	53
981	2765	50
982	2768	47
983	2770	45
984	2773	42
985	2776	39
986	2779	36
987	2782	33
988	2784	30
989	2787	28
990	2790	25
991	2793	22
992	2795	19
993	2799	16
994	2802	14
995	2806	11
996	2810	8
997	2814	5
998	2816	2
999	2819	0
